Date,PM10,PM2.5,Ozone,Ammonia, BarPressure, SolarRadiation, RelativeHumidity, PXylene,Toulene, AmbientTemperature,WindDirection,WindSpeed,SulphurDioxide,OxidesOfNitrogen,NitrogenDioxide,Benzene,NitricOxide,Day,Month
 04/04/2015,166.93,54.21,28.15,25.69,740,256.38,59.87,2.99,10.27,23.28,131.07,1.48,31.3,71.09,55.13,2.04,17.55, 04,4
 05/04/2015,260.41,100.5,26.79,32.94,740,174.72,69.64,1.29,10.6,20.74,124.15,0.91,49.68,60.74,50.65,4.39,14.14, 05,4
 09/04/2015,482.61,83.02,10.17,19.1,740,195.47,31.26,4.15,11.1,30.16,263.99,1.5,14.93,88.52,79.48,3.15,26.31, 09,4
 10/04/2015,442.78,114.3,13.88,21.9,740,218.36,36.18,3.12,9.84,29.81,256.34,1.26,11.17,88.5,77.1,3.18,25.48, 10,4
 11/04/2015,671.7,251.78,13.12,34.07,740,190.72,36.42,3.8,16.47,29.92,160.78,0.97,28.1,94.08,85.62,5.4,16.94, 11,4
 12/04/2015,NA,64.32,10.91,35.03,740,166.27,53.08,1.25,10.97,24.3,151.32,1.77,22.88,68.94,61.65,1.86,13.48, 12,4
 13/04/2015,161.8,110.57,15.89,40.28,740,220.57,58.09,1.92,16.19,24.91,118.04,2.01,14.95,65.21,53.87,2.75,12.58, 13,4
 14/04/2015,247.32,85.98,12.53,31.52,740,222.34,51.91,2.3,14.17,27.01,92.46,2.22,12.52,57.69,47.47,2.13,11.4, 14,4
 15/04/2015,392.29,118.89,10.57,33.08,740,13.64,53.99,3.2,13.7,26.89,133.69,1.01,15.88,71.82,61.52,3.07,15.33, 15,4
 16/04/2015,337.9,105.69,13.37,29.59,740,218.61,51.23,1.5,16.29,26.82,174.51,1.52,23.57,61.81,46.57,2.48,15.59, 16,4
 17/04/2015,441.57,100.97,19.93,21.19,740,222.08,44.65,2.23,7.98,29.3,265.05,1.26,11.06,78.27,59.59,2.53,26.36, 17,4
 18/04/2015,482.99,173.41,20.53,20.43,740,213.91,36.58,3.67,12.81,32.62,241.85,0.95,10.3,86.59,70.63,4.19,23.48, 18,4
